data_type,study_name_common,study_name_rare,trait_common,trait_rare
phenotype,ukb-d-20536-1,ukb-wes-bm-00000835,Weight change during worst episode of depression: Gained weight,Weight change during worst episode of depression - Gained weight (20536)
phenotype,ukb-d-20536-2,ukb-wes-bm-00000219,Weight change during worst episode of depression: Lost weight,Weight change during worst episode of depression - Lost weight (20536)
phenotype,ukb-d-20536-3,ukb-wes-bm-00003422,Weight change during worst episode of depression: Both gained and lost some weight during the episode,Weight change during worst episode of depression - Both gained and lost some weight during the episode (20536)
phenotype,ukb-d-20537,ukb-wes-gb-00002666,Frequency of difficulty controlling worry during worst period of anxiety,Frequency of difficulty controlling worry during worst period of anxiety
phenotype,ukb-d-20544-1,ukb-wes-bm-00003713,Mental health problems ever diagnosed by a professional: Social anxiety or social phobia,Mental health problems ever diagnosed by a professional - Social anxiety or social phobia (20544)
phenotype,ukb-d-20544-6,ukb-wes-bm-00003563,Mental health problems ever diagnosed by a professional: Panic attacks,Mental health problems ever diagnosed by a professional - Panic attacks (20544)
phenotype,ukb-d-20548-1,ukb-wes-bm-00003640,Manifestations of mania or irritability: I was more talkative than usual,Manifestations of mania or irritability - I was more talkative than usual (20548)
phenotype,ukb-d-20548-2,ukb-wes-bm-00002747,Manifestations of mania or irritability: I was more restless than usual,Manifestations of mania or irritability - I was more restless than usual (20548)
phenotype,ukb-d-20548-3,ukb-wes-bm-00003460,Manifestations of mania or irritability: My thoughts were racing,Manifestations of mania or irritability - My thoughts were racing (20548)
phenotype,ukb-d-20548-5,ukb-wes-bm-00002401,Manifestations of mania or irritability: I needed less sleep than usual,Manifestations of mania or irritability - I needed less sleep than usual (20548)
phenotype,ukb-d-20548-6,ukb-wes-bm-00002968,Manifestations of mania or irritability: I was more creative or had more ideas than usual,Manifestations of mania or irritability - I was more creative or had more ideas than usual (20548)
phenotype,ukb-d-20548-7,ukb-wes-bm-00001536,Manifestations of mania or irritability: I was easily distracted,Manifestations of mania or irritability - I was easily distracted (20548)
phenotype,ukb-d-20548-8,ukb-wes-bm-00000463,Manifestations of mania or irritability: I was more confident than usual,Manifestations of mania or irritability - I was more confident than usual (20548)
phenotype,ukb-d-20548-9,ukb-wes-bm-00000465,Manifestations of mania or irritability: I was more active than usual,Manifestations of mania or irritability - I was more active than usual (20548)
phenotype,ukb-d-2395-1,ukb-wes-bm-00003094,Hair/balding pattern: Pattern 1,Hair balding pattern - Pattern 1 (2395)
phenotype,ukb-d-2877-1,ukb-wes-bm-00001662,Type of tobacco previously smoked: Manufactured cigarettes,Type of tobacco previously smoked - Manufactured cigarettes (2877)
phenotype,ukb-d-30020-irnt,ukb-wes-bm-00002609,Haemoglobin concentration,Haemoglobin concentration (30020)
phenotype,ukb-d-30030-irnt,ukb-wes-bm-00002861,Haematocrit percentage,Haematocrit percentage (30030)
phenotype,ukb-d-30050-irnt,ukb-wes-bm-00001519,Mean corpuscular haemoglobin,Mean corpuscular haemoglobin (30050)
phenotype,ukb-d-30060-irnt,ukb-wes-bm-00002272,Mean corpuscular haemoglobin concentration,Mean corpuscular haemoglobin concentration (30060)
phenotype,ukb-d-30090-irnt,ukb-wes-bm-00001215,Platelet crit,Platelet crit (30090)
phenotype,ukb-d-30140-irnt,ukb-wes-bm-00002815,Neutrophill count,Neutrophill count (30140)
phenotype,ukb-d-30150,ukb-wes-bm-00000644,Eosinophill count,Eosinophill count (30150)
phenotype,ukb-d-30160,ukb-wes-gb-00003614,Basophill count,Basophill count
phenotype,ukb-d-30180-irnt,ukb-wes-bm-00002986,Lymphocyte percentage,Lymphocyte percentage (30180)
phenotype,ukb-d-30190-irnt,ukb-wes-bm-00002974,Monocyte percentage,Monocyte percentage (30190)
phenotype,ukb-d-30200-irnt,ukb-wes-bm-00003887,Neutrophill percentage,Neutrophill percentage (30200)
phenotype,ukb-d-30210-irnt,ukb-wes-bm-00003967,Eosinophill percentage,Eosinophill percentage (30210)
phenotype,ukb-d-30220-irnt,ukb-wes-bm-00003895,Basophill percentage,Basophill percentage (30220)
phenotype,ukb-d-30240-irnt,ukb-wes-gb-00003620,Reticulocyte percentage,Reticulocyte percentage
phenotype,ukb-d-30280-irnt,ukb-wes-bm-00001220,Immature reticulocyte fraction,Immature reticulocyte fraction (30280)
phenotype,ukb-d-30290-irnt,ukb-wes-bm-00003131,High light scatter reticulocyte percentage,High light scatter reticulocyte percentage (30290)
phenotype,ukb-d-30500-irnt,ukb-wes-bm-00000875,Microalbumin in urine,Microalbumin in urine (30500)
phenotype,ukb-d-4294-1,ukb-wes-bm-00000676,Final attempt correct: yes,Final attempt correct - yes (4294)
phenotype,ukb-d-6020-1,ukb-wes-bm-00001973,Completion status of test: Fully completed,Completion status of test - Fully completed (6020)
phenotype,ukb-b-10093,ukb-wes-bm-00003464,Tense / 'highly strung',Tense highly strung - Yes (1990)
phenotype,ukb-b-10169,ukb-wes-bm-00003480,Guilty feelings,Guilty feelings - Yes (2030)
phenotype,ukb-b-10215,ukb-wes-bm-00003107,Hand grip strength (right),Hand grip strength right (47)
phenotype,ukb-b-10250,ukb-wes-bm-00002697,Cylindrical power (right),Cylindrical power right (5087)
phenotype,ukb-b-10387,ukb-wes-bm-00003016,Leg pain on walking,Leg pain on walking - Yes (4728)
phenotype,ukb-b-10591,ukb-wes-bm-00000632,Chest pain or discomfort,Chest pain or discomfort - Yes (2335)
phenotype,ukb-b-10629,ukb-wes-bm-00002332,6mm asymmetry index (left),6mm asymmetry index left (5157)
phenotype,ukb-b-10753,ukb-wes-bm-00003717,Diabetes diagnosed by doctor,DD DM - Yes (2443)
phenotype,ukb-b-10797,ukb-wes-bm-00002848,Chest pain due to walking ceases when standing still,Chest pain due to walking ceases when standing still - Yes (3616)
phenotype,ukb-b-1096,ukb-wes-bm-00001893,Heel bone mineral density (BMD) (left),Heel bone mineral density BMD left (4105)
phenotype,ukb-b-11113,ukb-wes-bm-00002173,3mm weak meridian (left),3mm weak meridian left (5096)
phenotype,ukb-b-11141,ukb-wes-bm-00000659,"Forced expiratory volume in 1-second (FEV1), Best measure",Forced expiratory volume in 1 second FEV1 Best measure (20150)
phenotype,ukb-b-11182,ukb-wes-bm-00001126,3mm cylindrical power (left),3mm cylindrical power left (5119)
phenotype,ukb-b-11207,ukb-wes-bm-00001932,6mm cylindrical power (left),6mm cylindrical power left (5118)
phenotype,ukb-b-11297,ukb-wes-bm-00003044,Doctor diagnosed asthma,DD asthma - Yes (22127)
phenotype,ukb-b-11303,ukb-wes-bm-00002671,Father's age at death,Fathers age at death (1807)
phenotype,ukb-b-11355,ukb-wes-bm-00003486,Ever stopped smoking for 6+ months,Ever stopped smoking for 6 months - Yes (2907)
phenotype,ukb-b-11361,ukb-wes-bm-00000706,"ECG, heart rate",ECG heart rate (5983)
phenotype,ukb-b-1138,ukb-wes-bm-00003525,6mm strong meridian angle (right),6mm strong meridian angle right (5106)
phenotype,ukb-b-11452,ukb-wes-bm-00000834,6mm strong meridian (right),6mm strong meridian right (5133)
phenotype,ukb-b-11578,ukb-wes-bm-00002950,Chest pain or discomfort walking normally,Chest pain or discomfort walking normally - Yes (3606)
phenotype,ukb-b-11650,ukb-wes-bm-00003485,Corneal hysteresis (left),Corneal hysteresis left (5264)
phenotype,ukb-b-12019,ukb-wes-bm-00001672,Peak expiratory flow (PEF),Peak expiratory flow PEF (3064)
phenotype,ukb-b-12205,ukb-wes-bm-00003407,Chest pain felt during physical activity,Chest pain felt during physical activity - Yes (6015)
phenotype,ukb-b-1234,ukb-wes-bm-00002465,Doctor diagnosed chronic bronchitis,DD chronic bronchitis - Yes (22129)
phenotype,ukb-b-12440,ukb-wes-bm-00001425,"Intra-ocular pressure, Goldmann-correlated (left)",Intra ocular pressure Goldmann correlated left (5263)
phenotype,ukb-b-12654,ukb-wes-bm-00003830,Former alcohol drinker,Former alcohol drinker - Yes (3731)
phenotype,ukb-b-12687,ukb-wes-bm-00003166,Mother's age at death,Mothers age at death (3526)
phenotype,ukb-b-12828,ukb-wes-bm-00001455,Leg fat-free mass (right),Leg fat free mass right (23113)
phenotype,ukb-b-12841,ukb-wes-bm-00003500,Bring up phlegm/sputum/mucus on most days,Bring up phlegm sputum mucus on most days - Yes (22504)
phenotype,ukb-b-12854,ukb-wes-bm-00002608,Arm fat percentage (right),Arm fat percentage right (23119)
phenotype,ukb-b-12864,ukb-wes-bm-00003775,Leg pain when walking normally,Leg pain when walking normally - Yes (5485)
phenotype,ukb-b-12909,ukb-wes-bm-00002117,Mother still alive,Mother still alive - Yes (1835)
phenotype,ukb-b-13092,ukb-wes-bm-00003957,Headaches for 3+ months,Headaches for three months - Yes (3799)
phenotype,ukb-b-13160,ukb-wes-bm-00001719,Father still alive,Father still alive - Yes (1797)
phenotype,ukb-b-133,ukb-wes-bm-00001233,Hip pain for 3+ months,Hip pain for three months - Yes (3414)
phenotype,ukb-b-13346,ukb-wes-bm-00000906,Fractured/broken bones in last 5 years,Fractured bones in last 5 years - Yes (2463)
phenotype,ukb-b-13354,ukb-wes-bm-00002491,Whole body fat-free mass,Whole body fat free mass (23101)
phenotype,ukb-b-13405,ukb-wes-bm-00001548,"Forced expiratory volume in 1-second (FEV1), predicted percentage",Forced expiratory volume in 1 second FEV1 predicted percentage (20154)
phenotype,ukb-b-13416,ukb-wes-bm-00002573,6mm weak meridian (right),6mm weak meridian right (5098)
phenotype,ukb-b-13506,ukb-wes-bm-00000561,3mm weak meridian (right),3mm weak meridian right (5099)
phenotype,ukb-b-13538,ukb-wes-bm-00003924,6mm weak meridian (left),6mm weak meridian left (5097)
phenotype,ukb-b-13653,ukb-wes-bm-00000733,Worry too long after embarrassment,Worry too long after embarrassment - Yes (2000)
phenotype,ukb-b-13686,ukb-wes-bm-00001685,Mother's age,Mothers age (1845)
phenotype,ukb-b-13745,ukb-wes-bm-00003170,Irritability,Irritability - Yes (1940)
phenotype,ukb-b-13764,ukb-wes-bm-00003308,"Long-standing illness, disability or infirmity",Long standing illness disability or infirmity - Yes (2188)
phenotype,ukb-b-14067,ukb-wes-bm-00001675,6mm asymmetry angle (left),6mm asymmetry angle left (5110)
phenotype,ukb-b-14068,ukb-wes-bm-00001407,Impedance of leg (left),Impedance of leg left (23108)
phenotype,ukb-b-14146,ukb-wes-bm-00003479,"Intra-ocular pressure, Goldmann-correlated (right)",Intra ocular pressure Goldmann correlated right (5255)
phenotype,ukb-b-14147,ukb-wes-bm-00002647,Risk taking,Risk taking - Yes (2040)
phenotype,ukb-b-14149,ukb-wes-bm-00001004,Able to walk or cycle unaided for 10 minutes,Able to walk or cycle unaided for 10 minutes - Yes (6017)
phenotype,ukb-b-14180,ukb-wes-bm-00002730,Mood swings,Mood swings - Yes (1920)
phenotype,ukb-b-14310,ukb-wes-bm-00001635,Leg predicted mass (right),Leg predicted mass right (23114)
phenotype,ukb-b-14576,ukb-wes-bm-00000089,Wears glasses or contact lenses,Wears glasses or contact lenses - Yes (2207)
phenotype,ukb-b-14664,ukb-wes-bm-00003188,3mm strong meridian (left),3mm strong meridian left (5135)
phenotype,ukb-b-14670,ukb-wes-bm-00002539,Cylindrical power (left),Cylindrical power left (5086)
phenotype,ukb-b-14695,ukb-wes-bm-00003632,3mm cylindrical power angle (right),3mm cylindrical power angle right (5115)
phenotype,ukb-b-14713,ukb-wes-bm-00000010,"Forced vital capacity (FVC), Best measure",Forced vital capacity FVC Best measure (20151)
phenotype,ukb-b-15041,ukb-wes-bm-00001332,Ever had breast cancer screening / mammogram,Ever had breast cancer screening mammogram - Yes (2674)
phenotype,ukb-b-15178,ukb-wes-bm-00001381,Corneal resistance factor (right),Corneal resistance factor right (5257)
phenotype,ukb-b-15251,ukb-wes-bm-00002271,Fracture resulting from simple fall,Fracture resulting from simple fall - Yes (3005)
phenotype,ukb-b-15272,ukb-wes-bm-00003642,Ever manic/hyper for 2 days,Ever manic hyper for 2 days - Yes (4642)
phenotype,ukb-b-15378,ukb-wes-bm-00002661,Had other major operations,Had other major operations - Yes (2844)
phenotype,ukb-b-15695,ukb-wes-bm-00002347,Ever had prostate specific antigen (PSA) test,Ever had prostate specific antigen PSA test - Yes (2365)
phenotype,ukb-b-15730,ukb-wes-bm-00002326,"Heel bone mineral density (BMD) T-score, automated (left)",Heel bone mineral density BMD T score automated left (4106)
phenotype,ukb-b-15782,ukb-wes-bm-00003050,"logMAR, final (right)",logMAR final right (5201)
phenotype,ukb-b-15851,ukb-wes-bm-00003071,"Heel Broadband ultrasound attenuation, direct entry",Heel Broadband ultrasound attenuation direct entry (3144)
phenotype,ukb-b-16026,ukb-wes-bm-00002268,Duration to complete numeric path (trail #1),Duration to complete numeric path trail 1 (20156)
phenotype,ukb-b-16099,ukb-wes-bm-00003127,Leg fat-free mass (left),Leg fat free mass left (23117)
phenotype,ukb-b-16118,ukb-wes-bm-00001957,Neck/shoulder pain for 3+ months,Neck shoulder pain for three months - Yes (3404)
phenotype,ukb-b-16311,ukb-wes-bm-00003439,Interval between previous point and current one in alphanumeric path (trail #2),Interval between previous point and current one in alphanumeric path trail 2 (20155)
phenotype,ukb-b-16609,ukb-wes-bm-00002509,Target heart rate achieved,Target heart rate achieved - True (6034)
phenotype,ukb-b-16677,ukb-wes-bm-00000435,6mm cylindrical power (right),6mm cylindrical power right (5117)
phenotype,ukb-b-16698,ukb-wes-bm-00000924,Arm predicted mass (right),Arm predicted mass right (23122)
phenotype,ukb-b-16855,ukb-wes-bm-00001108,Cancer diagnosed by doctor,DD Cancer - Yes (2453)
phenotype,ukb-b-16858,ukb-wes-bm-00003673,Cough on most days,Cough on most days - Yes (22502)
phenotype,ukb-b-17001,ukb-wes-bm-00001047,Ever had bowel cancer screening,Ever had bowel cancer screening - Yes (2345)
phenotype,ukb-b-17271,ukb-wes-bm-00002760,Leg predicted mass (left),Leg predicted mass left (23118)
phenotype,ukb-b-17291,ukb-wes-bm-00000949,Leg pain when walking ever disappears while walking,Leg pain when walking ever disappears while walking - Yes (5496)
phenotype,ukb-b-1732,ukb-wes-bm-00001324,3mm asymmetry angle (right),3mm asymmetry angle right (5108)
phenotype,ukb-b-1733,ukb-wes-bm-00001738,6mm regularity index (right),6mm regularity index right (5161)
phenotype,ukb-b-17400,ukb-wes-bm-00001561,Snoring,Snoring - Yes (1210)
phenotype,ukb-b-17409,ukb-wes-bm-00000062,Trunk fat-free mass,Trunk fat free mass (23129)
phenotype,ukb-b-17422,ukb-wes-bm-00000471,Age at menopause (last menstrual period),Age at menopause last menstrual period (3581)
phenotype,ukb-b-17772,ukb-wes-bm-00000926,6mm cylindrical power angle (right),6mm cylindrical power angle right (5114)
phenotype,ukb-b-17859,ukb-wes-bm-00000796,3mm asymmetry index (left),3mm asymmetry index left (5156)
phenotype,ukb-b-17868,ukb-wes-bm-00003246,Bilateral oophorectomy (both ovaries removed),Bilateral oophorectomy both ovaries removed - Yes (2834)
phenotype,ukb-b-18096,ukb-wes-bm-00002511,Leg fat mass (right),Leg fat mass right (23112)
phenotype,ukb-b-18103,ukb-wes-bm-00002328,"Pulse rate, automated reading",Pulse rate automated reading (102)
phenotype,ukb-b-18176,ukb-wes-bm-00003432,Doctor restricts physical activity due to heart condition,Doctor restricts physical activity due to heart condition - Yes (6014)
phenotype,ukb-b-18275,ukb-wes-bm-00000248,Hearing difficulty/problems with background noise,Hearing difficulty problems background noise - Yes (2257)
phenotype,ukb-b-18335,ukb-wes-bm-00000987,Wheeze or whistling in the chest in last year,Wheeze or whistling in the chest in last year - Yes (2316)
phenotype,ukb-b-18336,ukb-wes-bm-00003471,"Seen a psychiatrist for nerves, anxiety, tension or depression",Seen psych nerves anxiety tension or depression - Yes (2100)
phenotype,ukb-b-18377,ukb-wes-bm-00003659,Leg fat percentage (left),Leg fat percentage left (23115)
phenotype,ukb-b-18509,ukb-wes-bm-00000026,3mm cylindrical power angle (left),3mm cylindrical power angle left (5112)
phenotype,ukb-b-18541,ukb-wes-bm-00002966,Ever used hormone-replacement therapy (HRT),Ever used hormone replacement therapy HRT - Yes (2814)
phenotype,ukb-b-18674,ukb-wes-bm-00003618,Ever unenthusiastic/disinterested for a whole week,Ever unenthusiastic disinterested for a whole week - Yes (4631)
